"case","n","p","k","rho","seed","prior","proposal_type","mh_step_b","true_sigmaSq","sse_total","sse_signal","phi_mean","phi_median","phi_q90","phi_q99","phi_gt_10","phi_gt_100","a_mean","a_median","a_q90","b_mean","b_median","b_q90","accept_a","accept_b","accept_phi"
"dense_p100_k50",50,100,50,0.8,1,"hs_center","bi_adaptive",0.2,61.5088374697088,434.848437375929,415.825704073019,2.19381998068407,1.4306937856277,4.78531215688477,17.3817063535315,0.028,0,0.377396174064953,0.370030767230789,0.465709520166947,0.99258926125517,0.917541516897655,1.50969083193963,0.516,0.6265,0.516
"dense_p100_k50",50,100,50,0.8,2,"hs_center","bi_adaptive",0.2,129.773465834533,502.643836075281,253.783642463108,6.27331353076826,4.27594828205194,12.5884148242642,31.1042006483984,0.168,0,1.33039700563188,1.21513588007439,1.94375397308088,1.2348397069355,1.13548879228627,1.84700693991545,0.5295,0.6105,0.5295
"dense_p100_k50",50,100,50,0.8,1,"normal_gamma_center","adaptive",0.1,61.5088374697088,386.931025144592,352.084016528592,91.5220093023054,5.56043968028568,363.75980685091,895.189293816537,0.403,0.154,1.14784397598766,0.98824017917775,1.92812788198685,7.61636163047381,3.73507853244702,23.1563538009011,0.556,0.556,0.556
"dense_p100_k50",50,100,50,0.8,2,"normal_gamma_center","adaptive",0.1,129.773465834533,423.369214699215,234.90997473169,108.213731404851,11.7587689437549,112.884128776813,4087.22629327503,0.554,0.11,1.34856338551742,1.22585174738272,2.12525190399985,3.96774072550945,2.43847038884468,7.53114148026073,0.6375,0.6375,0.6375
"dense_p100_k50",50,100,50,0.8,1,"normal_gamma_center","bi_adaptive",0.2,61.5088374697088,416.438654265425,403.502208757984,13.8424920320845,4.06931874340386,41.066173588022,120.795294191278,0.29,0.013,1.59607584231358,1.40682808645183,2.42732604937158,8.53237151003144,7.5345987668311,14.5083256771863,0.521,0.6505,0.521
"dense_p100_k50",50,100,50,0.8,2,"normal_gamma_center","bi_adaptive",0.2,129.773465834533,558.476388807997,276.589654961054,66.5313776830186,48.5615877099389,130.83525111768,353.733899199864,0.93,0.167,1.07435516959246,1.01953780884963,1.68639399075081,5.54100730385611,4.86818903851365,9.8003912377844,0.439,0.6495,0.439
"dense_p100_k50",50,100,50,0.8,1,"ridge_center","adaptive",0.1,61.5088374697088,404.154837706087,374.100239184213,25.6553919273088,1.92026399485444,56.515029449331,425.77981496663,0.223,0.077,2.99129181635284,2.56051911980222,5.571703715023,6.06884855364207,3.77805528596454,13.551191158862,0.5815,0.5815,0.5815
"dense_p100_k50",50,100,50,0.8,2,"ridge_center","adaptive",0.1,129.773465834533,523.274434053394,257.158334740725,11.0564604003406,4.21587387040966,27.2169948277943,110.255856595097,0.248,0.012,8.07579627973516,7.24684248943439,14.9804170607511,4.84272604203832,3.73769672463126,9.21838660241297,0.598,0.598,0.598
"dense_p100_k50",50,100,50,0.8,1,"ridge_center","bi_adaptive",0.2,61.5088374697088,404.319372028791,376.83532496605,1.53859560466245,0.950206243801353,3.73058273885979,8.98958156031932,0.004,0,7.22657264912348,6.01527142400292,13.6129904266555,4.15120345737042,3.28849639348303,7.55180677555318,0.455,0.6015,0.455
"dense_p100_k50",50,100,50,0.8,2,"ridge_center","bi_adaptive",0.2,129.773465834533,482.814877214828,237.926326193938,13.6695922278428,10.2988899846402,29.501890388548,52.6271029779578,0.513,0,9.89022928702053,7.9809411568838,18.3921506043932,8.52870878143013,8.01414407233446,14.0325395805336,0.509,0.6125,0.509
"dense_p100_k50",50,100,50,0.4,1,"hs_center","adaptive",0.1,95.4281297822566,414.000327743918,311.851482550005,4.39332350999863,2.97190804760583,9.59851246164597,22.212094474596,0.083,0,1.08105797385729,1.03315510340062,1.5824987423909,1.25373965102814,1.154173111162,1.84689204362824,0.408,0.408,0.408
"dense_p100_k50",50,100,50,0.4,2,"hs_center","adaptive",0.1,91.45555915442,306.948141953766,221.880685306162,3.86881843173924,2.91428977862842,8.82472713984802,19.3508667522025,0.065,0,1.00722243066818,0.868316484137206,1.60438982933,1.02544490930877,1.01907339369894,1.40556772045818,0.624,0.624,0.624
"dense_p100_k50",50,100,50,0.4,1,"hs_center","bi_adaptive",0.2,95.4281297822566,414.596848753434,323.872892279531,4.05035845369809,3.01906447409219,8.21063375820398,18.9325989977852,0.052,0,1.10023301145437,0.981133046684059,1.73505898912548,1.25177213022851,1.19230607445276,1.72243142733434,0.465,0.6145,0.465
"dense_p100_k50",50,100,50,0.4,2,"hs_center","bi_adaptive",0.2,91.45555915442,277.788888584723,226.579303330993,2.38034653971307,1.54474824969173,4.62648179515219,13.2389247806207,0.024,0,0.9768830924784,0.77970586627985,1.95099655758395,1.05094188431543,0.983135780625037,1.45419966067973,0.49,0.6155,0.49
"dense_p100_k50",50,100,50,0.4,1,"normal_gamma_center","adaptive",0.1,95.4281297822566,389.303042013776,327.739464213483,28.2258112655033,9.9205688520148,72.6962754069541,200.334598137188,0.499,0.053,1.03769102761724,0.99065420347756,1.45290748798052,4.75205393521214,3.19661326985464,10.648722256689,0.5685,0.5685,0.5685
"dense_p100_k50",50,100,50,0.4,2,"normal_gamma_center","adaptive",0.1,91.45555915442,351.151364263928,217.353745905304,44.9873157336804,14.6284602864773,102.629570495433,496.790268152594,0.609,0.104,1.38961740395419,1.32487058631889,2.12536637814738,4.99986405743415,3.47441611172719,10.1119894255214,0.605,0.605,0.605
"dense_p100_k50",50,100,50,0.4,1,"normal_gamma_center","bi_adaptive",0.2,95.4281297822566,425.00661569544,314.599423646947,17.3831116385013,14.5109318996701,34.0549863115265,62.6269740912372,0.599,0,1.13006065378461,1.07744564244671,1.59542733563523,3.66842937888089,3.40926001369604,6.25214680460818,0.407,0.6475,0.407
"dense_p100_k50",50,100,50,0.4,2,"normal_gamma_center","bi_adaptive",0.2,91.45555915442,349.714499064923,218.989186396092,15.4275465513425,11.5397101050786,28.8690177226926,65.859524682073,0.564,0.007,1.43730461936513,1.34038707863645,2.12284889804827,3.32182152105404,2.9031968886084,5.65928178104882,0.4355,0.6495,0.4355
"dense_p100_k50",50,100,50,0.4,1,"ridge_center","adaptive",0.1,95.4281297822566,400.752267419539,294.093234521616,5.01769980353417,2.90487813116288,11.3128302017464,33.3806614677148,0.113,0,7.51691351784234,7.23094077714428,12.3027255675914,5.35102475451733,4.56643154224873,10.1626261149419,0.5315,0.5315,0.5315
"dense_p100_k50",50,100,50,0.4,2,"ridge_center","adaptive",0.1,91.45555915442,328.422843141087,208.141001678962,9.78778956191944,4.20892848749916,20.2458722454846,118.496975629488,0.246,0.011,6.73164979220788,5.89680374119524,12.1739212760927,5.97542566237039,4.96454169635209,9.74491897681325,0.547,0.547,0.547
"dense_p100_k50",50,100,50,0.4,1,"ridge_center","bi_adaptive",0.2,95.4281297822566,397.533079808022,302.936723116388,3.56870931171105,2.49238914343166,7.80700614308727,14.9538283289072,0.037,0,7.80954886990001,6.72964881376051,14.2172529979843,4.56409727147243,4.40945911255899,7.43901584097206,0.4805,0.599,0.4805
