"case","rho","prior","proposal_type","mh_step_b","sse_total","sse_signal","phi_mean","phi_median","phi_q90","phi_q99","phi_gt_10","phi_gt_100","a_mean","a_median","a_q90","b_mean","b_median","b_q90","accept_a","accept_b","accept_phi"
"sparse_p200_k10",0.4,"ridge_center","adaptive",0.1,52.6037738774094,41.1199213984844,5.26912980600143,0.673289595542448,18.2810124819894,51.5005310948387,0.134,0,1.42945001046751,1.34411338487966,1.93079509345406,8.1936381974568,3.89988772538583,23.3928750307853,0.5185,0.5185,0.5185
"dense_p100_k50",0.8,"ridge_center","adaptive",0.1,463.714635879741,315.629286962469,18.3559261638247,3.06806893263205,41.8660121385627,268.017835780864,0.2355,0.0445,5.533544048044,4.9036808046183,10.2760603878871,5.45578729784019,3.7578760052979,11.3847888806375,0.58975,0.58975,0.58975
"mixed_p200_k40",0.8,"ridge_center","adaptive",0.1,289.015300939642,219.045408597722,3.57222828600281,1.93463717867655,8.07801025116834,28.3534855679039,0.075,0,4.56112856516039,4.02459785687804,8.14066169426337,4.27791611428051,3.84092794048692,6.73877853833557,0.51775,0.51775,0.51775
"sparse_p200_k10",0.8,"ridge_center","adaptive",0.1,64.5529555126432,46.5113998840596,7.60053407066876,0.665027687682407,8.3350202150663,145.984267330151,0.0985,0.029,1.15778605519047,1.10052736103425,1.50936677464282,6.06418274097807,2.96807488951,11.4125252310414,0.492,0.492,0.492
"dense_p100_k50",0.4,"hs_center","bi_adaptive",0.2,346.192868669079,275.226097805262,3.21535249670558,2.28190636189196,6.41855777667809,16.085761889203,0.038,0,1.03855805196638,0.880419456481955,1.84302777335472,1.15135700727197,1.0877209275389,1.58831554400704,0.4775,0.615,0.4775
"mixed_p200_k40",0.4,"hs_center","bi_adaptive",0.2,267.88747844776,218.077576556387,2.84663837327641,1.91490457547551,6.35688114093788,13.2895661896917,0.042,0,0.358829875389123,0.349611668461946,0.487530125926982,1.02669658193493,0.964860235467477,1.49272537778954,0.45925,0.558,0.45925
"sparse_p200_k10",0.4,"hs_center","bi_adaptive",0.2,41.5791684175547,31.5130043875095,0.69409028324414,0.51220010880224,1.42063784547283,2.89356910886271,0,0,0.401911934761412,0.382944527133235,0.517834750077034,1.40750820210858,1.30613729502195,2.03643856086557,0.42125,0.55625,0.42125
"dense_p100_k50",0.8,"hs_center","bi_adaptive",0.2,468.746136725605,334.804673268064,4.23356675572616,2.85332103383982,8.68686349057447,24.242953500965,0.098,0,0.853896589848417,0.79258332365259,1.20473174662392,1.11371448409534,1.02651515459196,1.67834888592754,0.52275,0.6185,0.52275
"mixed_p200_k40",0.8,"hs_center","bi_adaptive",0.2,326.365432182033,242.373755916733,4.54120944111758,2.81822956657169,11.3767839729541,24.4327896147085,0.1315,0,0.536642640496058,0.496098060898588,0.804198599591778,1.16045167322512,1.06866003681252,1.72755490725556,0.458,0.5645,0.458
"sparse_p200_k10",0.8,"hs_center","bi_adaptive",0.2,64.6852714025112,40.1081929762217,0.476229314420439,0.283064366656535,1.16563046801597,2.916949541007,5e-04,0,0.416889701304773,0.414128166952146,0.598990937230167,1.17670884989617,1.04716091667327,1.85031231005908,0.427,0.5475,0.427
"dense_p100_k50",0.4,"normal_gamma_center","bi_adaptive",0.2,387.360557380182,266.79430502152,16.4053290949219,13.0253210023743,31.4620020171096,64.243249386655,0.5815,0.0035,1.28368263657487,1.20891636054158,1.85913811684175,3.49512544996746,3.15622845115222,5.9557142928285,0.42125,0.6485,0.42125
"mixed_p200_k40",0.4,"normal_gamma_center","bi_adaptive",0.2,273.324583537912,228.174014645344,7.42612950949024,3.80587494111876,18.8122202264629,47.5949958680674,0.214,0,1.08375476896982,1.05954216531598,1.4612948749153,3.76637301659917,3.33652409807784,6.25250601035282,0.41575,0.587,0.41575
"sparse_p200_k10",0.4,"normal_gamma_center","bi_adaptive",0.2,59.780568130772,56.4914454651507,2.2550535636786,0.712202549934223,5.59872638031642,27.01649248391,0.046,0,0.8385096944749,0.80695171883884,1.103404132189,8.81487493746678,8.0523842332922,15.7485936440856,0.364,0.60275,0.364
"dense_p100_k50",0.8,"normal_gamma_center","bi_adaptive",0.2,487.457521536711,340.045931859519,40.1869348575516,26.3154532266714,85.9507123528509,237.264596695571,0.61,0.09,1.33521550595302,1.21318294765073,2.0568600200612,7.03668940694377,6.20139390267237,12.1543584574854,0.48,0.65,0.48
"mixed_p200_k40",0.8,"normal_gamma_center","bi_adaptive",0.2,328.166612256621,260.308967839332,27.3250269270508,3.23105699636592,84.5013364736101,207.735835983666,0.4105,0.085,0.764208802266422,0.56264895115594,1.49848494483095,4.49787517873146,3.48268339236829,8.90932957989213,0.4095,0.57125,0.4095
"sparse_p200_k10",0.8,"normal_gamma_center","bi_adaptive",0.2,63.0448350853364,42.5912513107409,1.42367091993926,0.822132542928713,2.90124365855493,15.7285594331948,0.0235,0,0.410246706117404,0.407133072554455,0.501249291047013,2.555098072265,2.29809143498915,4.1467704056048,0.3775,0.592,0.3775
"dense_p100_k50",0.4,"ridge_center","bi_adaptive",0.2,359.473262454195,253.83847935956,3.87346250993177,2.65961299151206,8.76995646945968,16.4158324335527,0.0655,0,7.60021166260048,6.60442681694734,13.5685819020562,4.35142800511666,4.09222828030046,7.26930294337777,0.485,0.59875,0.485
"mixed_p200_k40",0.4,"ridge_center","bi_adaptive",0.2,268.266820771108,213.161742673109,2.61403101964297,1.61445790598349,5.77626861946461,19.3874619127386,0.027,0,5.72129621404294,4.37540140541838,11.3810554988154,5.14633513842803,4.17905845892714,9.12574894589545,0.498,0.52325,0.498
"sparse_p200_k10",0.4,"ridge_center","bi_adaptive",0.2,59.0672083659736,46.8442041899606,1.24011705970003,0.659993068062288,3.06371365613983,7.44858173391794,0.006,0,7.25584701929844,5.60822604349686,14.3638319408088,10.9707434918046,10.3277606825408,18.6090173412424,0.4795,0.5365,0.4795
